dataset,hard_dataset,seed,acc_classical,acc_quantum,delta_par,delta_naive,robustness_r
MNIST,False,11,0.8740433470512554,0.8840218611899131,0.009978514138657746,0.022688329780567666,0.6098994541803545
MNIST,False,23,0.8683993380375846,0.8730549711807808,0.004655633143196117,0.01511452940810439,0.5644556435512642
MNIST,False,37,0.8627501165700192,0.8754242844021335,0.012674167832114305,0.022878567751251452,0.6001810935620452
MNIST,False,47,0.8647376330261647,0.871211832920618,0.006474199894453262,0.017762546569072772,0.5818620678236563
MNIST,False,59,0.860606526378735,0.8641849551020292,0.0035784287232941327,0.010597166208840558,0.6136071322313427
Fashion-MNIST,True,11,0.7916219802642417,0.797739034326447,0.006117054062205262,0.016060768226967687,0.6147576371734924
Fashion-MNIST,True,23,0.7845707396999603,0.7985073833957316,0.013936643695771342,0.026103632599361923,0.6584674722641792
Fashion-MNIST,True,37,0.7895938345825763,0.8039701916227154,0.0143763570401392,0.024297490637985756,0.6354381327515883
Fashion-MNIST,True,47,0.7980892582792548,0.809179406155084,0.011090147875829187,0.02347382279367915,0.6407243430139978
Fashion-MNIST,True,59,0.7873095315455784,0.802841527737745,0.015531996192166556,0.02552517696814594,0.6580708788378126
EMNIST Balanced,True,11,0.7284491018704259,0.7454202546489326,0.016971152778506665,0.024773152302176835,0.6937064627110838
EMNIST Balanced,True,23,0.7308517162859524,0.7453945804074879,0.014542864121535527,0.02642522241129649,0.6628552487535132
EMNIST Balanced,True,37,0.737602072954706,0.7479510547286861,0.010348981773979995,0.018751157411278176,0.6890374724212933
EMNIST Balanced,True,47,0.7340671051296674,0.7418980778925708,0.007830972762903326,0.017913870127053175,0.6700602459054938
EMNIST Balanced,True,59,0.7345837119055034,0.7451264893234504,0.010542777417946934,0.02534454980011093,0.6418354132586837
Kuzushiji-MNIST,True,11,0.7232797463605645,0.7364371443870718,0.013157398026507323,0.024438148052458336,0.6737556385892834
Kuzushiji-MNIST,True,23,0.7238701093663965,0.7344890298988379,0.01061892053244143,0.019245190393364753,0.6636540708764936
Kuzushiji-MNIST,True,37,0.7170193208976722,0.7308680343427569,0.01384871344508479,0.022747841513058007,0.6855033086917592
Kuzushiji-MNIST,True,47,0.7237060460540969,0.7443312835877727,0.02062523753367572,0.029322442724341025,0.6660087330883134
Kuzushiji-MNIST,True,59,0.7235100055939027,0.7459468058432849,0.022436800249382202,0.030270605655182397,0.6875940074650674
CIFAR-10 grayscale PCA,True,11,0.6802370525976693,0.6870712379879236,0.006834185390254308,0.016355457436162645,0.7156576093425882
CIFAR-10 grayscale PCA,True,23,0.6917275939087675,0.6945259068886528,0.0027983129798853593,0.013768256725704024,0.7301859726294085
CIFAR-10 grayscale PCA,True,37,0.6826692758372874,0.6921913383395586,0.009522062502271196,0.023967572336725907,0.697063040931586
CIFAR-10 grayscale PCA,True,47,0.6856146726116671,0.6961005513517663,0.010485878740099222,0.023186837474786743,0.6962968346312165
CIFAR-10 grayscale PCA,True,59,0.682744778895008,0.6941707429233016,0.011425964028293656,0.020156039651928397,0.6674567415562687
