dataset,t,dg_at_0,dg_at_Jmax,concave_interior,interior_J_star,interior_g_star
CIFAR-10 grayscale PCA,0.1,1.1810000000000007,-0.3600000000000013,True,0.3,0.5942446807639363
CIFAR-10 grayscale PCA,0.25,1.1810000000000025,-0.3600000000000002,True,0.3,0.6064043359377613
CIFAR-10 grayscale PCA,0.5,1.1810000000000007,-0.3600000000000002,True,0.3,0.6182573025112976
CIFAR-10 grayscale PCA,0.75,1.1810000000000043,-0.3600000000000002,True,0.3,0.6439184383808259
CIFAR-10 grayscale PCA,1.0,1.1809999999999987,-0.3599999999999991,True,0.3,0.6349441626774942
CIFAR-10 grayscale PCA,1.25,1.1809999999999987,-0.359999999999998,True,0.3,0.6521934565145061
CIFAR-10 grayscale PCA,1.5,1.1810000000000025,-0.3600000000000013,True,0.3,0.6599857976603388
CIFAR-10 grayscale PCA,2.0,1.1810000000000025,-0.3599999999999991,True,0.3,0.6815773045349568
EMNIST Balanced,0.1,1.1810000000000007,-0.3600000000000002,True,0.3,0.5998520364702956
EMNIST Balanced,0.25,1.1810000000000007,-0.3599999999999991,True,0.3,0.613472033181002
EMNIST Balanced,0.5,1.1810000000000007,-0.3600000000000002,True,0.3,0.620002573446954
EMNIST Balanced,0.75,1.1810000000000007,-0.3600000000000002,True,0.3,0.6305736776237247
EMNIST Balanced,1.0,1.1809999999999987,-0.3600000000000002,True,0.3,0.6337503379197675
EMNIST Balanced,1.25,1.1810000000000007,-0.3599999999999991,True,0.3,0.6453602966613916
EMNIST Balanced,1.5,1.1810000000000025,-0.3600000000000002,True,0.3,0.6582237784579339
EMNIST Balanced,2.0,1.1810000000000007,-0.3599999999999991,True,0.3,0.6675934770711685
Fashion-MNIST,0.1,1.1810000000000007,-0.3600000000000002,True,0.3,0.5999218688964317
Fashion-MNIST,0.25,1.1810000000000007,-0.3599999999999991,True,0.3,0.6020489275131531
Fashion-MNIST,0.5,1.1810000000000007,-0.3600000000000002,True,0.3,0.6245241261598119
Fashion-MNIST,0.75,1.1810000000000043,-0.3600000000000013,True,0.3,0.636456407632872
Fashion-MNIST,1.0,1.1810000000000025,-0.3600000000000002,True,0.3,0.6498051383738679
Fashion-MNIST,1.25,1.1810000000000007,-0.359999999999998,True,0.3,0.663472033181002
Fashion-MNIST,1.5,1.1810000000000043,-0.3600000000000002,True,0.3,0.665002573446954
Fashion-MNIST,2.0,1.1809999999999987,-0.3600000000000002,True,0.3,0.6687503379197675
Kuzushiji-MNIST,0.1,1.1810000000000007,-0.3600000000000002,True,0.3,0.5909531392665828
Kuzushiji-MNIST,0.25,1.1810000000000007,-0.3599999999999991,True,0.3,0.5953602966613916
Kuzushiji-MNIST,0.5,1.1810000000000007,-0.3600000000000002,True,0.3,0.613223778457934
Kuzushiji-MNIST,0.75,1.1810000000000007,-0.3600000000000013,True,0.3,0.6200623893536426
Kuzushiji-MNIST,1.0,1.1810000000000007,-0.3599999999999991,True,0.3,0.6325934770711684
Kuzushiji-MNIST,1.25,1.1810000000000025,-0.3599999999999969,True,0.3,0.6564043359377612
Kuzushiji-MNIST,1.5,1.1810000000000043,-0.3600000000000002,True,0.3,0.6632573025112977
Kuzushiji-MNIST,2.0,1.1809999999999952,-0.3599999999999991,True,0.3,0.6699441626774941
