dataset,seed,t,J,silhouette,margin,error,g,entanglement_proxy_E,delta_accuracy_vs_J0
Fashion-MNIST,11,0.1,0.0,0.2664093987206014,0.4189701265001077,0.21228427506261738,0.47309525015809173,0.29497858392679616,0.006262012546673964
Fashion-MNIST,23,0.1,0.0,0.26532262455127087,0.37184428474541265,0.236007690454252,0.40115921884243155,0.2999497238897908,0.005812046091601029
Fashion-MNIST,37,0.1,0.0,0.2505780015127102,0.40486568909898946,0.23537293555614663,0.42007075505555297,0.291721740935829,0.012457752714993624
Fashion-MNIST,47,0.1,0.0,0.25547898317594725,0.37892099126194667,0.21733056378387355,0.4170694106540203,0.28137267015995815,0.009942832548463513
Fashion-MNIST,59,0.1,0.0,0.26624748403482873,0.4077411399842517,0.22577391424701834,0.4482147097720621,0.31545839837294615,0.009407564904037526
Fashion-MNIST,11,0.1,0.03,0.27914439872060137,0.4361601265001077,0.20677927506261737,0.5085252501580917,0.34435858392679614,0.007954012546673963
Fashion-MNIST,23,0.1,0.03,0.27805762455127087,0.3890342847454127,0.23050269045425198,0.4365892188424316,0.3493297238897908,0.007504046091601028
Fashion-MNIST,37,0.1,0.03,0.2633130015127102,0.4220556890989895,0.22986793555614662,0.4555007550555531,0.34110174093582896,0.014149752714993623
Fashion-MNIST,47,0.1,0.03,0.26821398317594725,0.3961109912619467,0.21182556378387354,0.45249941065402044,0.33075267015995813,0.011634832548463512
Fashion-MNIST,59,0.1,0.03,0.2789824840348287,0.42493113998425175,0.22026891424701833,0.4836447097720621,0.3648383983729461,0.011099564904037525
Fashion-MNIST,11,0.1,0.06,0.2903493987206014,0.45173012650010763,0.20226427506261738,0.5398152501580917,0.39049858392679615,0.009430012546673965
Fashion-MNIST,23,0.1,0.06,0.2892626245512709,0.4046042847454126,0.225987690454252,0.4678792188424315,0.3954697238897908,0.00898004609160103
Fashion-MNIST,37,0.1,0.06,0.2745180015127102,0.4376256890989894,0.22535293555614663,0.4867907550555529,0.38724174093582897,0.015625752714993627
Fashion-MNIST,47,0.1,0.06,0.27941898317594727,0.4116809912619466,0.20731056378387355,0.48378941065402026,0.37689267015995814,0.013110832548463514
Fashion-MNIST,59,0.1,0.06,0.29018748403482875,0.44050113998425167,0.21575391424701834,0.514934709772062,0.41097839837294614,0.012575564904037526
Fashion-MNIST,11,0.1,0.1,0.30290939872060135,0.46997012650010767,0.1977842750626174,0.5750952501580916,0.4469785839267961,0.011062012546673964
Fashion-MNIST,23,0.1,0.1,0.30182262455127085,0.42284428474541264,0.221507690454252,0.5031592188424315,0.45194972388979077,0.010612046091601029
Fashion-MNIST,37,0.1,0.1,0.2870780015127102,0.45586568909898945,0.22087293555614665,0.522070755055553,0.44372174093582895,0.017257752714993625
Fashion-MNIST,47,0.1,0.1,0.2919789831759472,0.42992099126194666,0.20283056378387357,0.5190694106540203,0.4333726701599581,0.014742832548463513
Fashion-MNIST,59,0.1,0.1,0.3027474840348287,0.4587411399842517,0.21127391424701836,0.550214709772062,0.4674583983729461,0.014207564904037524
Fashion-MNIST,11,0.1,0.15,0.3147843987206014,0.48872012650010765,0.19465927506261738,0.6088452501580917,0.5094785839267961,0.012562012546673962
Fashion-MNIST,23,0.1,0.15,0.31369762455127087,0.4415942847454126,0.218382690454252,0.5369092188424315,0.5144497238897908,0.012112046091601027
Fashion-MNIST,37,0.1,0.15,0.2989530015127102,0.47461568909898944,0.21774793555614663,0.555820755055553,0.506221740935829,0.018757752714993622
Fashion-MNIST,47,0.1,0.15,0.30385398317594725,0.44867099126194665,0.19970556378387355,0.5528194106540203,0.4958726701599581,0.01624283254846351
Fashion-MNIST,59,0.1,0.15,0.31462248403482873,0.4774911399842517,0.20814891424701834,0.5839647097720622,0.5299583983729461,0.015707564904037522
Fashion-MNIST,11,0.1,0.22,0.32426939872060134,0.5074101265001076,0.19490427506261737,0.6367752501580917,0.5818585839267961,0.013654012546673961
Fashion-MNIST,23,0.1,0.22,0.32318262455127084,0.46028428474541266,0.21862769045425198,0.5648392188424315,0.5868297238897908,0.013204046091601026
Fashion-MNIST,37,0.1,0.22,0.30843800151271017,0.4933056890989895,0.21799293555614663,0.5837507550555531,0.578601740935829,0.01984975271499362
Fashion-MNIST,47,0.1,0.22,0.3133389831759472,0.4673609912619467,0.19995056378387355,0.5807494106540204,0.5682526701599582,0.01733483254846351
Fashion-MNIST,59,0.1,0.22,0.3241074840348287,0.49618113998425173,0.20839391424701834,0.6118947097720621,0.6023383983729461,0.01679956490403752
Fashion-MNIST,11,0.1,0.3,0.3249093987206014,0.5179701265001077,0.2017842750626174,0.6410952501580917,0.6429785839267962,0.013462012546673964
Fashion-MNIST,23,0.1,0.3,0.32382262455127087,0.4708442847454127,0.225507690454252,0.5691592188424316,0.6479497238897909,0.013012046091601028
Fashion-MNIST,37,0.1,0.3,0.3090780015127102,0.5038656890989894,0.22487293555614665,0.588070755055553,0.639721740935829,0.019657752714993624
Fashion-MNIST,47,0.1,0.3,0.31397898317594725,0.4779209912619467,0.20683056378387357,0.5850694106540204,0.6293726701599582,0.01714283254846351
Fashion-MNIST,59,0.1,0.3,0.3247474840348287,0.5067411399842517,0.21527391424701836,0.616214709772062,0.6634583983729462,0.016607564904037524
Fashion-MNIST,11,0.1,0.4,0.3104093987206014,0.5149701265001077,0.22028427506261739,0.6050952501580916,0.6869785839267961,0.011062012546673964
Fashion-MNIST,23,0.1,0.4,0.3093226245512709,0.4678442847454126,0.244007690454252,0.5331592188424316,0.6919497238897908,0.010612046091601029
Fashion-MNIST,37,0.1,0.4,0.29457800151271024,0.5008656890989894,0.24337293555614664,0.552070755055553,0.6837217409358289,0.017257752714993625
Fashion-MNIST,47,0.1,0.4,0.2994789831759473,0.47492099126194665,0.22533056378387356,0.5490694106540204,0.6733726701599582,0.014742832548463513
Fashion-MNIST,59,0.1,0.4,0.31024748403482877,0.5037411399842516,0.23377391424701835,0.580214709772062,0.7074583983729461,0.014207564904037524
Fashion-MNIST,11,0.25,0.0,0.25298845154850663,0.4008920937489601,0.2318858162995891,0.42199472899787766,0.29393780573621225,0.011185526656703281
Fashion-MNIST,23,0.25,0.0,0.26439087789872234,0.39145518768280924,0.23449335458852294,0.42135271099300864,0.3223008213239089,0.008136339434495177
Fashion-MNIST,37,0.25,0.0,0.2619899006895959,0.4138554264339686,0.22455620704531068,0.45128912007825384,0.25639096768893194,0.012606640733302522
Fashion-MNIST,47,0.25,0.0,0.25604410754856044,0.4117666033099538,0.2239118258646861,0.4438988849938282,0.29037601420325543,0.009023686705667942
